word	(Intercept)	number_stories_observed
natur	0.4693879584000478	-0.653198113090342
never	-0.3314661633528166	-0.25011314731415807
new	1.5439922594312065	0.1392424069694709
none	-0.3737979675678124	-0.3545567423738067
now	0.03363075798887177	0.5149321367642956
one	0.6675454415661942	0.5091898873536976
other	-0.9212015112347717	-0.96834803528846225
overwhelm	-0.8626511087553603	-0.47306936552879425
ox	-0.09686351173512817	0.4213118366360871
penicillin	2.136398230769215	0.22283511745338547
peopl	1.3414209124027325	2.4236412627882604
pharmaceut	0.872471261207479	-0.1871275139430426
phenomenon	-0.7498067751941659	-0.3265080313151877
play	-0.60009183672673	-0.06110451997336174
pneumonia	-0.5910069470022629	-0.23204884416516836
popul	0.18717479776246598	-0.1664179330133471
popularli	-1.0769212398000496	-0.6397204822847752
postantibiot	-1.0762069860491457	-0.6399496684581223
problem	0.60584310242776	0.4532641677424055
project	-0.8964420292511329	-0.4643905903669682
promis	-1.411729675393081	-0.8672471048180206
quickli	-0.14333115263835786	0.1653779987121473
rais	0.12644456970047466	0.731799420794627
refer	-0.8407285773203793	-0.48750785778998695
remedi	-0.8954242933196933	-0.4588430396169416
resist	2.244757108855645	0.932907119342965
resourc	-0.6119242587707809	-0.21294473649484288
respond	-0.6787249148470941	-0.18179047632257334
review	-0.8619328489580017	-0.47338319354926656
revolut	-0.2332716168546224	-0.08613364799744955
right	-0.5220675139380182	0.5640981401609833
routin	-0.28806850801165124	0.35951276214661393
save	1.343194157810995	0.6537241659917328
scale	-0.9177981695819131	-0.4492364003409389
seem	-0.7032859960782388	-0.013240178270278978
sentenc	-0.5395348528246304	-0.10948250384499394
sepsi	-0.013739763617647411	-0.31556103139673497
shot	-0.2940760261938502	0.18038052072286534
shrimp	0.49517836078012856	-0.3342363212117552
side	-0.4489717427066737	0.10219751761791099
slow	0.5574544148170012	0.2861794079582623
state	-0.11721061208366473	-0.062323056217775646
step	-0.15047166237017562	1.0919934952902275
still	-0.24721158054349515	-0.0726228037429344
suddenli	-1.4287789297757496	-0.8611983548712377
sure	-0.36345494872249867	0.34530578221708685
take	0.926568431467492	0.4453099146847007
them	0.9811845490592634	0.3706674979808242
thing	0.3384655638480671	1.1763250275085886
thousand	0.2640187873695576	0.20023159916319894
time	1.5861890787782784	0.04456284296631033
tini	-1.4073103168728576	-0.8645322253700551
today	0.9311596620582427	0.039783503217515996
toll	-0.5397866892133466	-0.10792618427041173
too	-1.1180534233225785	-0.6418975313149232
took	-1.1268873162677489	-0.6239513818644568
treat	1.3404112490125475	0.27679068147096486
two	-0.5980870356427902	-0.2504565674085722
unit	-0.698611027775445	-0.3678247146268394
use	2.8542424382574376	0.001672947374952105
version	-1.448692065772848	-0.8582015307180392
war	0.5345680227644328	0.4414536686765608
way	1.0304200306108866	0.09709610670534453
were	-0.6246583675401015	0.09181083835549764
western	-0.8641707478719609	-0.4724056798657363
which	-1.4073103168728576	-0.8645322253700551
within	-0.4828261877806143	0.12539919235990749
work	0.5880949236544227	0.7507917908972932
world	-0.07780702301139189	1.4842452246119882
worldwid	-0.07155757694944322	0.3539454615843509
would	1.1105133837986372	-0.027435872302896583
year	0.7920141145361033	1.5272055599000423
york	-0.4393631590770507	-0.03390551080329832
