word	number_stories_observed	number_words_read	condition	number_observed	baseline_prob_3_word_265	baseline_prob_3_word_100	baseline_prob_3_word_30	baseline_prob_2_word_100	baseline_prob_1_word_100	baseline_prob_2_word_30	baseline_prob_1_word_30
way	1	265	Chain	1	0.1781676379010502	0.19991068175882937	0.22943991150900903	0.19108263752929291	0.12649458915925452	0.21966587609119065	0.14717417792897416
day	1	265	Chain	1	0.16750304157124343	0.18824271621056685	0.21651484815379426	0.13581590625493845	0.06460435974769212	0.15774417115138278	0.07604687170317402
get	1	265	Chain	1	0.1654223885484204	0.18596199028799504	0.2139818756275743	0.17780648227141724	0.1171933369753487	0.20490685155223795	0.13659011277652766
would	1	265	Chain	1	0.16455168579630947	0.1850071427536872	0.2129207874513284	0.18615174899433676	0.13001518777888368	0.21419270306890537	0.1511707243602995
give	1	265	Chain	1	0.1625084481596708	0.18276547465811954	0.21042822650031806	0.1325958115206105	0.06345522808056736	0.15409687989730167	0.07471046567597103
problem	1	265	Chain	1	0.16250091722792573	0.1827572098326893	0.21041903282643656	0.1606746376716115	0.09605546216920238	0.1857537804479691	0.11239912504464288
chicken	1	265	Chain	1	0.15237789144791855	0.17163091271967965	0.19801672281474544	0.17064265327392208	0.11699161459665955	0.19691264821022855	0.13636016020847067
step	1	265	Chain	1	0.15116420719994358	0.17029468814662543	0.196523808257881	0.12344078065443448	0.058959733060623014	0.1437032587635143	0.06947674453659303
war	1	265	Chain	1	0.15104792742332537	0.17016664273069385	0.19638070893786969	0.1497469832286216	0.0893243229323739	0.17347299478761166	0.1046552921537829
today	1	265	Chain	1	0.1509547107385964	0.17006399081359583	0.19626598363876574	0.16734397020939037	0.11333184609149982	0.19322445467169086	0.13218520014454527
estim	1	265	Chain	1	0.13741071080169798	0.15511870331074143	0.17951611905745382	0.15427609455185745	0.1051678306301872	0.17856899309844712	0.12285123106582393
ear	1	265	Chain	1	0.13734705502641603	0.155048318790197	0.17943701541361776	0.12209152512260933	0.06397282951644674	0.14216844763608977	0.07531249277591212
rais	1	265	Chain	1	0.13648317154935427	0.15409298597079601	0.17836313241851656	0.12446857610502418	0.06711413129632914	0.1448718808704811	0.0789636403233673
histori	1	265	Chain	1	0.13495094360602272	0.15239795200991202	0.176456815932663	0.12271182222843363	0.06591117257746691	0.14287414707976717	0.07756594966971923
slow	1	265	Chain	1	0.13489752239150632	0.15233884054930297	0.17639031462894816	0.1397349718815911	0.08692295594616888	0.16217724640008546	0.10188788456237578
come	1	265	Chain	1	0.1304887314340511	0.14745718464280483	0.1708933180144734	0.1278297735568695	0.07453202458319046	0.14869048496112286	0.08756828119007334
it	1	265	Chain	1	0.12898363322555056	0.1457891828288647	0.16901276774501595	0.12302215558823648	0.06956413156525408	0.14322714551904384	0.08180827337362764
buy	1	265	Chain	1	0.12271403823168578	0.13883291289903626	0.16115745164583886	0.10308930083740656	0.05045553438582133	0.12047025968246633	0.05955159596546573
pharmaceut	1	265	Chain	1	0.11756257297222861	0.13310745385557726	0.15467669308165488	0.13954846994339976	0.09997357574395074	0.16196643059640436	0.1168976863950742
