,condition,layer_n,k,story_merged
302,Multiple-pathway,5,0,0.4330161213874817
303,Multiple-pathway,5,0,0.7030993103981018
304,Multiple-pathway,5,0,0.5551472902297974
305,Multiple-pathway,5,0,0.7540310025215149
306,Multiple-pathway,5,0,0.6311216950416565
307,Multiple-pathway,5,0,0.6073265671730042
308,Multiple-pathway,5,0,0.7314112186431885
309,Multiple-pathway,5,0,0.511375367641449
310,Multiple-pathway,5,0,0.6885673403739929
311,Multiple-pathway,5,0,0.5705965757369995
312,Multiple-pathway,5,0,0.4903724491596222
313,Multiple-pathway,5,0,0.6571670174598694
314,Multiple-pathway,5,0,0.5844700336456299
315,Multiple-pathway,5,0,0.7165380716323853
316,Multiple-pathway,5,0,0.7969154715538025
317,Multiple-pathway,5,0,0.6397979259490967
318,Multiple-pathway,5,0,0.7749537825584412
319,Multiple-pathway,5,0,0.6353163719177246
320,Multiple-pathway,5,0,0.5704008340835571
321,Multiple-pathway,5,0,0.7988110780715942
322,Multiple-pathway,5,0,0.6327246427536011
323,Multiple-pathway,5,0,0.7683294415473938
324,Multiple-pathway,5,0,0.8367984294891357
325,Multiple-pathway,5,0,0.7878328561782837
326,Multiple-pathway,5,0,0.7890726327896118
327,Multiple-pathway,5,0,0.7308544516563416
328,Multiple-pathway,5,0,0.7813329100608826
329,Multiple-pathway,5,0,0.6366941928863525
330,Multiple-pathway,5,0,0.5351039171218872
331,Multiple-pathway,5,0,0.4923071563243866
332,Multiple-pathway,5,0,0.6262035369873047
333,Multiple-pathway,5,0,0.6660029888153076
334,Multiple-pathway,5,0,0.35703206062316895
335,Multiple-pathway,5,0,0.6879242658615112
336,Multiple-pathway,5,0,0.6125259399414062
337,Multiple-pathway,5,0,0.7125517129898071
338,Multiple-pathway,5,0,0.7717463970184326
339,Multiple-pathway,5,0,0.6785420775413513
340,Multiple-pathway,5,0,0.718429446220398
341,Multiple-pathway,5,0,0.7024819254875183
342,Multiple-pathway,5,0,0.5585930347442627
343,Multiple-pathway,5,0,0.6198259592056274
344,Multiple-pathway,5,0,0.6481484770774841
345,Multiple-pathway,5,0,0.36470842361450195
346,Multiple-pathway,5,0,0.6480767130851746
347,Multiple-pathway,5,0,0.7431616187095642
348,Multiple-pathway,5,0,0.7612494826316833
349,Multiple-pathway,5,0,0.7198619842529297
350,Multiple-pathway,5,0,0.7100954055786133
351,Multiple-pathway,5,0,0.4794337749481201
352,Multiple-pathway,5,0,0.4966352880001068
353,Multiple-pathway,4,2,0.5276271104812622
354,Multiple-pathway,4,2,0.4059082567691803
355,Multiple-pathway,4,2,0.5719619393348694
356,Multiple-pathway,4,2,0.7309265732765198
357,Multiple-pathway,4,2,0.5914247035980225
358,Multiple-pathway,4,2,0.5894942879676819
359,Multiple-pathway,4,2,0.5547611713409424
360,Multiple-pathway,4,2,0.7527346014976501
361,Multiple-pathway,4,2,0.695513129234314
362,Multiple-pathway,4,2,0.6436728835105896
363,Multiple-pathway,4,2,0.5552352666854858
364,Multiple-pathway,4,2,0.5490389466285706
365,Multiple-pathway,4,2,0.5496397614479065
366,Multiple-pathway,4,2,0.5743335485458374
367,Multiple-pathway,4,2,0.6301047205924988
368,Multiple-pathway,4,2,0.7233542203903198
369,Multiple-pathway,4,2,0.6257529258728027
370,Multiple-pathway,4,2,0.5171859860420227
371,Multiple-pathway,4,2,0.5423920154571533
372,Multiple-pathway,4,2,0.5889887809753418
373,Multiple-pathway,4,2,0.6009418964385986
374,Multiple-pathway,4,2,0.4194221794605255
375,Multiple-pathway,4,2,0.7173214554786682
376,Multiple-pathway,4,2,0.7433662414550781
377,Multiple-pathway,4,2,0.6274175643920898
378,Multiple-pathway,4,2,0.5479207634925842
379,Multiple-pathway,4,2,0.5542040467262268
380,Multiple-pathway,4,2,0.6313248872756958
381,Multiple-pathway,4,2,0.4973524510860443
382,Multiple-pathway,4,2,0.744154691696167
383,Multiple-pathway,4,2,0.7254322171211243
384,Multiple-pathway,4,2,0.7420017123222351
385,Multiple-pathway,4,2,0.49587175250053406
386,Multiple-pathway,4,2,0.6508669257164001
387,Multiple-pathway,4,2,0.7436850666999817
388,Multiple-pathway,4,2,0.5805650949478149
389,Multiple-pathway,4,2,0.6823587417602539
