,condition,layer_n,k,story_merged
187,Multiple-pathway,5,0,0.14925373134328357
188,Multiple-pathway,5,0,0.03125
189,Multiple-pathway,5,0,0.041666666666666664
190,Multiple-pathway,5,0,0.04477611940298507
191,Multiple-pathway,5,0,0.09333333333333334
192,Multiple-pathway,5,0,0.07142857142857142
193,Multiple-pathway,5,0,0.08196721311475409
194,Multiple-pathway,5,0,0.07936507936507936
195,Multiple-pathway,5,0,0.016129032258064516
196,Multiple-pathway,5,0,0.07246376811594203
197,Multiple-pathway,5,0,0.04918032786885246
198,Multiple-pathway,5,0,0.07894736842105263
199,Multiple-pathway,5,0,0.03389830508474576
200,Multiple-pathway,5,0,0.1206896551724138
201,Multiple-pathway,5,0,0.08771929824561403
202,Multiple-pathway,5,0,0.038461538461538464
203,Multiple-pathway,5,0,0.06779661016949153
204,Multiple-pathway,5,0,0.07407407407407407
205,Multiple-pathway,5,0,0.04477611940298507
206,Multiple-pathway,5,0,0.02631578947368421
207,Multiple-pathway,5,0,0.058823529411764705
208,Multiple-pathway,5,0,0.0875
209,Multiple-pathway,5,0,0.12
210,Multiple-pathway,5,0,0.08333333333333333
211,Multiple-pathway,5,0,0.0375
212,Multiple-pathway,5,0,0.058823529411764705
213,Multiple-pathway,5,0,0.0975609756097561
214,Multiple-pathway,5,0,0.12162162162162163
215,Multiple-pathway,5,0,0.07575757575757576
216,Multiple-pathway,5,0,0.07407407407407407
217,Multiple-pathway,5,0,0.1076923076923077
218,Multiple-pathway,5,0,0.10869565217391304
219,Multiple-pathway,5,0,0.025
220,Multiple-pathway,5,0,0.07954545454545454
221,Multiple-pathway,5,0,0.05555555555555555
222,Multiple-pathway,5,0,0.0625
223,Multiple-pathway,5,0,0.06
224,Multiple-pathway,5,0,0.06666666666666667
225,Multiple-pathway,5,0,0.06521739130434782
226,Multiple-pathway,5,0,0.08108108108108109
227,Multiple-pathway,5,0,0.09523809523809523
228,Multiple-pathway,5,0,0.05
229,Multiple-pathway,5,0,0.06896551724137931
230,Multiple-pathway,5,0,0.0273972602739726
231,Multiple-pathway,5,0,0.046511627906976744
232,Multiple-pathway,5,0,0.15384615384615385
233,Multiple-pathway,5,0,0.057692307692307696
234,Multiple-pathway,5,0,0.06382978723404255
235,Multiple-pathway,5,0,0.07575757575757576
236,Multiple-pathway,5,0,0.029850746268656716
237,Multiple-pathway,5,0,0.06
238,Multiple-pathway,5,0,0.06521739130434782
239,Multiple-pathway,5,0,0.14634146341463414
240,Multiple-pathway,5,0,0.030303030303030304
241,Multiple-pathway,5,0,0.1506849315068493
242,Multiple-pathway,5,0,0.03076923076923077
243,Multiple-pathway,5,0,0.07142857142857142
244,Multiple-pathway,5,0,0.05660377358490566
245,Multiple-pathway,5,0,0.04878048780487805
246,Multiple-pathway,5,0,0.05555555555555555
247,Multiple-pathway,5,0,0.06976744186046512
248,Multiple-pathway,5,0,0.125
249,Multiple-pathway,5,0,0.08064516129032258
250,Multiple-pathway,5,0,0.12727272727272726
251,Multiple-pathway,5,0,0.0641025641025641
252,Multiple-pathway,5,0,0.0784313725490196
253,Multiple-pathway,5,0,0.1095890410958904
254,Multiple-pathway,5,0,0.05172413793103448
255,Multiple-pathway,5,0,0.09259259259259259
256,Multiple-pathway,5,0,0.09090909090909091
257,Multiple-pathway,5,0,0.1111111111111111
258,Multiple-pathway,5,0,0.0
259,Multiple-pathway,5,0,0.10714285714285714
260,Multiple-pathway,5,0,0.11320754716981132
261,Multiple-pathway,5,0,0.0851063829787234
262,Multiple-pathway,5,0,0.1206896551724138
263,Multiple-pathway,5,0,0.06
264,Multiple-pathway,5,0,0.0851063829787234
265,Multiple-pathway,5,0,0.01639344262295082
266,Multiple-pathway,5,0,0.13636363636363635
267,Multiple-pathway,5,0,0.05405405405405406
268,Multiple-pathway,5,0,0.1388888888888889
269,Multiple-pathway,5,0,0.0
270,Multiple-pathway,5,0,0.1276595744680851
271,Multiple-pathway,5,0,0.25
272,Multiple-pathway,5,0,0.05
273,Multiple-pathway,5,0,0.1590909090909091
274,Multiple-pathway,5,0,0.04
275,Multiple-pathway,5,0,0.12195121951219512
276,Multiple-pathway,5,0,0.1
277,Multiple-pathway,5,0,0.07692307692307693
278,Multiple-pathway,5,0,0.047619047619047616
279,Multiple-pathway,5,0,0.14705882352941177
280,Multiple-pathway,5,0,0.02564102564102564
281,Multiple-pathway,5,0,0.12698412698412698
282,Multiple-pathway,5,0,0.09090909090909091
283,Multiple-pathway,5,0,0.03125
284,Multiple-pathway,5,0,0.05454545454545454
285,Multiple-pathway,5,0,0.06349206349206349
286,Multiple-pathway,5,0,0.14285714285714285
287,Multiple-pathway,5,0,0.08823529411764706
288,Multiple-pathway,5,0,0.06896551724137931
289,Multiple-pathway,5,0,0.1
290,Multiple-pathway,5,0,0.21739130434782608
291,Multiple-pathway,5,0,0.03571428571428571
292,Multiple-pathway,5,0,0.09090909090909091
293,Multiple-pathway,5,0,0.06521739130434782
294,Multiple-pathway,5,0,0.047619047619047616
295,Multiple-pathway,5,0,0.1
296,Multiple-pathway,5,0,0.058823529411764705
297,Multiple-pathway,5,0,0.08771929824561403
298,Multiple-pathway,5,0,0.1346153846153846
299,Multiple-pathway,5,0,0.14634146341463414
300,Multiple-pathway,5,0,0.0625
301,Multiple-pathway,5,0,0.06666666666666667
302,Multiple-pathway,5,0,0.08823529411764706
303,Multiple-pathway,5,0,0.16666666666666666
304,Multiple-pathway,5,0,0.07407407407407407
305,Multiple-pathway,5,0,0.1276595744680851
306,Multiple-pathway,5,0,0.08823529411764706
307,Multiple-pathway,5,0,0.025974025974025976
308,Multiple-pathway,5,0,0.10344827586206896
309,Multiple-pathway,5,0,0.10638297872340426
310,Multiple-pathway,5,0,0.1
311,Multiple-pathway,5,0,0.046511627906976744
312,Multiple-pathway,5,0,0.07042253521126761
313,Multiple-pathway,5,0,0.04838709677419355
314,Multiple-pathway,5,0,0.05555555555555555
315,Multiple-pathway,5,0,0.08860759493670886
316,Multiple-pathway,5,0,0.12698412698412698
317,Multiple-pathway,5,0,0.09259259259259259
318,Multiple-pathway,5,0,0.11363636363636363
319,Multiple-pathway,5,0,0.045454545454545456
320,Multiple-pathway,5,0,0.11363636363636363
321,Multiple-pathway,5,0,0.08695652173913043
322,Multiple-pathway,5,0,0.09375
323,Multiple-pathway,5,0,0.1016949152542373
324,Multiple-pathway,5,0,0.13157894736842105
325,Multiple-pathway,5,0,0.09090909090909091
326,Multiple-pathway,5,0,0.11475409836065574
327,Multiple-pathway,5,0,0.04918032786885246
328,Multiple-pathway,5,0,0.05263157894736842
329,Multiple-pathway,5,0,0.044444444444444446
330,Multiple-pathway,5,0,0.04411764705882353
331,Multiple-pathway,5,0,0.03278688524590164
332,Multiple-pathway,5,0,0.05405405405405406
333,Multiple-pathway,5,0,0.06
334,Multiple-pathway,5,0,0.0
335,Multiple-pathway,5,0,0.07936507936507936
336,Multiple-pathway,5,0,0.10526315789473684
337,Multiple-pathway,5,0,0.09433962264150944
338,Multiple-pathway,5,0,0.06756756756756757
339,Multiple-pathway,5,0,0.11594202898550725
340,Multiple-pathway,5,0,0.12962962962962962
341,Multiple-pathway,5,0,0.05555555555555555
342,Multiple-pathway,5,0,0.1
343,Multiple-pathway,5,0,0.07317073170731707
344,Multiple-pathway,5,0,0.06976744186046512
345,Multiple-pathway,5,0,0.0
346,Multiple-pathway,5,0,0.07407407407407407
347,Multiple-pathway,5,0,0.0784313725490196
348,Multiple-pathway,5,0,0.06818181818181818
349,Multiple-pathway,5,0,0.07692307692307693
350,Multiple-pathway,5,0,0.0851063829787234
351,Multiple-pathway,5,0,0.044444444444444446
352,Multiple-pathway,5,0,0.02857142857142857
353,Multiple-pathway,4,2,0.075
354,Multiple-pathway,4,2,0.04878048780487805
355,Multiple-pathway,4,2,0.02564102564102564
356,Multiple-pathway,4,2,0.05454545454545454
357,Multiple-pathway,4,2,0.045454545454545456
358,Multiple-pathway,4,2,0.09523809523809523
359,Multiple-pathway,4,2,0.045454545454545456
360,Multiple-pathway,4,2,0.0967741935483871
361,Multiple-pathway,4,2,0.038461538461538464
362,Multiple-pathway,4,2,0.044444444444444446
363,Multiple-pathway,4,2,0.07407407407407407
364,Multiple-pathway,4,2,0.10256410256410256
365,Multiple-pathway,4,2,0.05555555555555555
366,Multiple-pathway,4,2,0.10526315789473684
367,Multiple-pathway,4,2,0.11475409836065574
368,Multiple-pathway,4,2,0.08333333333333333
369,Multiple-pathway,4,2,0.05357142857142857
370,Multiple-pathway,4,2,0.07462686567164178
371,Multiple-pathway,4,2,0.06896551724137931
372,Multiple-pathway,4,2,0.06818181818181818
373,Multiple-pathway,4,2,0.061224489795918366
374,Multiple-pathway,4,2,0.038461538461538464
375,Multiple-pathway,4,2,0.031746031746031744
376,Multiple-pathway,4,2,0.045454545454545456
377,Multiple-pathway,4,2,0.12195121951219512
378,Multiple-pathway,4,2,0.1
379,Multiple-pathway,4,2,0.07272727272727272
380,Multiple-pathway,4,2,0.0967741935483871
381,Multiple-pathway,4,2,0.03333333333333333
382,Multiple-pathway,4,2,0.05263157894736842
383,Multiple-pathway,4,2,0.08333333333333333
384,Multiple-pathway,4,2,0.07142857142857142
385,Multiple-pathway,4,2,0.0
386,Multiple-pathway,4,2,0.037037037037037035
387,Multiple-pathway,4,2,0.021739130434782608
388,Multiple-pathway,4,2,0.01694915254237288
389,Multiple-pathway,4,2,0.06382978723404255
390,Multiple-pathway,4,2,0.06060606060606061
391,Multiple-pathway,4,2,0.07692307692307693
392,Multiple-pathway,4,2,0.2
393,Multiple-pathway,4,2,0.09523809523809523
394,Multiple-pathway,4,2,0.04
395,Multiple-pathway,4,2,0.08108108108108109
396,Multiple-pathway,4,2,0.06060606060606061
397,Multiple-pathway,4,2,0.2
398,Multiple-pathway,4,2,0.02702702702702703
399,Multiple-pathway,4,2,0.06451612903225806
400,Multiple-pathway,4,2,0.06666666666666667
401,Multiple-pathway,4,2,0.06060606060606061
402,Multiple-pathway,4,2,0.03225806451612903
